10.255.3.75 RTSA-01-SP-DTC-ACT-POI no_result no_result no_result
10.255.3.75 RTSA-01-SP-DTC-ACT-POI no_result no_result no_result
10.255.3.76 SWAC-01-SP-SPO-VGE 11 9 0%
10.255.3.77 SWAC-01-SP-POI-TIG-POI 5 2 0%
10.255.3.78 RTSA-02-SP-SCN-SCS 60 51 0%
10.255.3.79 RTSA-01-SP-SPO-TRT 37 36 0%
10.255.3.8 SWAC-01-SP-DTC-EQ1-POI 23 20 0%
10.255.3.80 RTSA-01-SP-SPO-PPH 31 26 0%
10.255.3.81 RTSA-01-SP-SPO-LIB 15 15 0%
10.255.3.82 RTSA-01-SP-SPO-AME 10 10 0%
10.255.3.83 SWAC-05-SP-SPO-BSA 61 58 0%
10.255.3.84 SWAC-02-SP-SPO-TTP 83 60 0%
10.255.3.86 SWAC-07-SP-SPO-PDM 33 29 0%
10.255.3.87 RTSA-01-SP-POI-TIG-POI 27 23 0%
10.255.3.88 SWAC-02-SP-CAS-CAS 21 18 0%
10.255.3.89 RTSA-01-SP-AAS-ARS no_result no_result no_result
10.255.3.89 RTSA-01-SP-AAS-ARS no_result no_result no_result
10.255.3.9 RTSA-01-SP-SPO-STN 17 15 0%
10.255.3.90 RTSA-01-SP-SPO-PJD 3 2 0%
10.255.3.91 SWAC-01-SP-DDA-DDA 20 17 0%
10.255.3.92 RTSA-01-SP-MMM-JOS 16 14 0%
10.255.3.93 RTSA-01-SP-CAS-DTC-TIM 10 10 0%
10.255.3.97 RTSA-01-SP-POI-INT-POI 5 3 0%
10.255.3.99 RTSA-01-SP-LRA-NML 6 5 0%
10.255.4.10 RJ.RJO.ALG1.SW.EX.010 48 40 0%
10.255.4.11 RJ.RJO.LV3.SW.EX.011 49 45 0%
10.255.4.12 RJ.RJO.TVT.SW.EX.012 59 53 0%
10.255.4.13 RJ.RJO.TLP.SW.EX.013 18 17 0%
10.255.4.14 RJ.RJO.RB1.SW.EX.014 5 5 0%
10.255.4.15 RJ.RJO.ALG1.SW.EX.015 20 18 0%
10.255.4.16 RJ.RJO.SCR.SW.EX.016 8 7 0%
10.255.4.17 RJ.RJO.PLC.SW.EX.017 11 11 0%
10.255.4.18 RJ.RJO.MEN.SW.EX.018 18 15 0%
10.255.4.21 RJ.RJO.CIV.SW.EX.021 33 32 0%
10.255.4.23 RJ.RJO.SCT.SW.EX.023 29 22 0%
10.255.4.27 RJ.RJO.FLA.SW.EX.027 21 19 0%
10.255.4.28 RJ.RJO.DHC.SW.EX.028 36 36 0%
10.255.4.29 RJ.RJO.ANC.SW.EX.029 26 23 0%
10.255.4.3 RJ.RJO.CPG.SW.EX.003 78 64 0%
10.255.4.30 RJ.RJO.ARZ.SW.EX.030 22 20 0%
10.255.4.31 RJ.RJO.GLB.SW.EX.001 no_result no_result no_result
10.255.4.31 RJ.RJO.GLB.SW.EX.001 no_result no_result no_result
10.255.4.4 RJ.RJO.RB1.SW.EX.004 142 139 0%
10.255.4.5 RJ.RJO.ALG2.SW.EX.005 64 61 0%
10.255.4.6 RJ.RJO.PLC.SW.EX.006 41 34 0%
10.255.4.7 RJ.RJO.CIT.SW.EX.007 38 34 0%
10.255.4.8 RJ.RJO.PEN.SW.EX.008 12 11 0%
10.255.4.9 RJ.RJO.GPK.SW.EX.009 15 13 0%
10.255.5.2 BA.SDR.CDA.SW.EX.2 47 45 0%
10.255.6.1 CE.FLA.LV3.SW.EX.1 2 2 0%
10.255.6.2 CE.FLA.SPO.SW.EX.2 8 8 0%
10.255.6.3 CE.FLA.SPO.SW.EX.03 11 10 0%
11.255.103.0 RJ.RJO.LZN.SW.EX.103.6 1 1 0%
11.255.51.0 RJ.RJO.PDF.SW.JN.051 10 9 0%
172.16.0.109 RTSA-01-RS-POI-LV3-POI 96 90 0%
172.16.0.226 Airsw-78 no_result no_result no_result
172.16.0.90 RTSA-06-PAE-STC 25 21 0%
172.16.1.52 RTPE-01-RS-PAE-HMT 2 2 0%
172.16.103.107 SWAC-01-RS-PAS-SPA-AS274 no_result no_result no_result
172.16.103.107 SWAC-01-RS-PAS-SPA-AS274 no_result no_result no_result
172.16.103.210 SWAC-05-RS-PAS-SPA no_result no_result no_result
172.16.103.210 SWAC-05-RS-PAS-SPA no_result no_result no_result
172.16.103.218 RTSA-03-RS-PAS-PA2-DC1 53 52 0%
172.16.104.122 RTSA-01-RS-MGO-MNG 24 18 0%
172.16.113.58 RTSA-01-RS-NVSR-NSR 30 30 0%
172.16.117.138 RTSA-01-RS-DDO-GM2 29 22 0%
172.16.119.146 SWAC-01-RS-SHN-SDM 3 2 0%
