10.255.4.23 RJ.RJO.SCT.SW.EX.023 16 14 
172.16.117.138 RTSA-01-RS-DDO-GM2 24 24 
10.255.3.139 RTSA-01-SP-SPO-CAT 2 2 
10.255.3.87 RTSA-01-SP-POI-TIG-POI 0 0 
10.255.3.70 RTSA-01-SP-DTC-LCW-POI 0 0 
172.24.166.6 RTPE-01-SP-SPO-VRAO 0 0 
172.16.81.154 RTSA-01-SCR-SCL 28 13 
10.255.4.29 RJ.RJO.ANC.SW.EX.029 26 26 
172.16.0.90 RTSA-06-PAE-STC 0 0 
172.16.152.114 RTSA-01-RS-IJI-ISU 22 21 
172.16.78.162 RTSA-01-RS-CCR-CC1 27 27 
10.255.3.49 RTSA-01-SP-POI-NEX-POI 0 0 
10.255.3.1 RTSA-01-SP-SPO-MOO 25 25 
172.16.104.122 RTSA-01-RS-MGO-MNG 32 31 
172.16.236.74 RTSA-01-RS-TRF-TRF 25 25 
172.16.4.178 SWAC-01-RS-PAE-FLR 34 34 
10.255.3.113 SWAC-08-SP-SPO-PDM 13 13 
172.16.12.91 RTSA-01-RS-OSR-OSR 30 30 
10.255.3.8 SWAC-01-SP-DTC-EQ1-POI 0 0 
172.16.180.52 RTSA-02-RS-SAN-SMA 28 27 
172.16.20.50 RTSA-01-RS-IJH-IJH_SW-186 5 5 
172.16.225.138 RTSA-01-RS-VAO-VM2 34 34 
172.16.83.58 RTSA-01-RS-CEN-CA2 25 25 
10.255.4.30 RJ.RJO.ARZ.SW.EX.030 19 19 
10.255.3.20 RTSA-01-SP-SPO-NVA 0 0 
172.16.222.146 swac-04-rs-tri-tdi 16 16 
172.16.213.58 SWAC-03-RS-SRO-SRO 19 19 
10.255.3.88 SWAC-02-SP-CAS-CAS 15 14 
10.255.4.27 RJ.RJO.FLA.SW.EX.027 22 22 
172.20.0.2 RTSA-02-SC-PAC-GAL_SW-422 7 7 
10.255.3.17 RTSA-01-SP-RPO-SLM 11 11 
172.24.138.157 RTPE-01-SP-SPO-BRF 0 0 
172.16.92.58 RTSA-01-RS-VAA-VCA 23 23 
10.255.3.91 SWAC-01-SP-DDA-DDA 13 13 
172.16.203.98 RTSA-01-RS-SIV-SIV 18 18 
10.255.4.15 RJ.RJO.ALG1.SW.EX.015 7 7 
10.255.3.11 RTSA-02-SP-CAS-CAS 8 8 
172.16.22.210 RTSA-01-RS-TUN-HMO 13 13 
10.150.109.4 PLO-MAG-01-CR-X670-48x-001 0 0 
10.255.4.18 RJ.RJO.MEN.SW.EX.018 0 0 
