VPN-IND-01-CR-X670-48x-001 10.150.109.2 3
SW-STE-01-CR-X670-001 10.150.109.3 failure
PLO-MAG-01-CR-X670-48x-001 10.150.109.4 3
SLA-BVT-01-CR-X670-001 10.150.109.5 failure
CUV-Z07-01-CR-X670-001 10.150.109.6 failure
rtsa-01-mg-mcl-mcl 10.150.109.8 failure
BCV-PER-01-CR-X670-001.4 10.150.109.9 3
RTPE-01-MG-BHE-BPT 10.150.21.9 4
BHE-PAM-01-RE-CR-X670-100 10.150.247.251 0
SW-BHE-BPT-01-RE-CR-X670-100 10.150.247.252 0
SW-STE-01-RE-CR-X670-100 10.150.247.253 0
SW-SRA-01-RE-CR-X670-100 10.150.247.254 0
AIRSW-642-SEBRATEL 10.255.0.125 4
RTSA-01-MG-BHE-SER-VOZ(AIRSW-695) 10.255.0.162 6
RTSA-01-RS-PAE-RNP-POI-SW525 10.255.0.23 47
RTSA-01-SP-SPO-BRF-VOZ_SW-021 10.255.0.52 6
RJ-SCT-VOZ-SW-032 10.255.0.73 8
RTSA-02-SP-DTC-LV3-POI 10.255.0.92 23
SWAC-01-RS-VAO-VM2 10.255.0.98 failure
BA.SDR.INT.SW.EX.146 10.255.146.0 3
BA.SDR.CDA.SW.EX.147 10.255.147.0 8
RTSA-01-SP-SPO-MOO 10.255.3.1 18
SWAC-01-SP-LRA-NML 10.255.3.100 7
SWAC-01-SP-AAS-ARS 10.255.3.102 3
RTSA-01-SP-DTC-ODT-POI 10.255.3.104 24
RTSA-01-SP-POI-OI-POI 10.255.3.105 24
RTSA-01-SP-IAQ-ITQ 10.255.3.107 6
RTSA-01-SP-SJV-SJV 10.255.3.109 9
RTSA-02-SP-CAS-CAS 10.255.3.11 16
RTSA-01-SP-MOC-ASP 10.255.3.110 6
SWAC-08-SP-SPO-PDM 10.255.3.113 12
RTSA-01-SP-CPR-OSO 10.255.3.12 6
RTSA-01-SP-STS-STS 10.255.3.121 8
RTSA-03-SP-DTC-EQ2-POI 10.255.3.122 12
RTSA-02-SP-OCO-OCO 10.255.3.126 36
RTSA-01-SP-CNH-CNH 10.255.3.13 3
SWAC-03-SP-IAQ-ITQ 10.255.3.131 20
SWAC-06-SP-SPO-VCR 10.255.3.132 24
